Date,Open,High,Low,Close,Volume,Adj Close
1979-02-01,99.93,100.52,95.38,96.28,26357800,96.28
1979-01-02,96.11,102.59,95.22,99.93,29366300,99.93
1978-12-01,95.01,98.58,92.64,96.11,26123500,96.11
1978-11-01,94.13,97.41,91.77,94.70,25452800,94.70
1978-10-02,102.54,106.23,91.65,93.15,32957200,93.15
1978-09-01,103.29,108.05,100.66,102.54,34795000,102.54
1978-08-01,100.68,106.27,99.95,103.29,39078200,103.29
1978-07-03,95.53,101.18,93.59,100.68,28774000,100.68
1978-06-01,97.24,101.84,93.99,95.53,31108600,95.53
1978-05-01,96.83,100.32,94.57,97.24,36582700,97.24
1978-04-03,89.20,97.91,88.07,96.83,36422500,96.83
1978-03-01,87.04,91.35,86.45,89.21,23532200,89.21
1978-02-01,89.25,91.32,86.58,87.04,20439400,87.04
1978-01-03,95.10,95.15,88.02,89.25,21333800,89.25
1977-12-01,94.83,95.67,91.76,95.10,22596600,95.10
1977-11-01,92.19,97.11,90.01,94.83,24635700,94.83
1977-10-03,96.53,97.27,90.20,92.34,20501900,92.34
1977-09-01,96.77,98.43,94.44,96.53,19278000,96.53
1977-08-01,98.85,99.84,95.04,96.77,19683900,96.77
1977-07-01,100.48,102.57,97.71,98.85,24885700,98.85
1977-06-01,96.12,101.65,95.89,100.48,22934500,100.48
1977-05-02,98.44,100.93,95.52,96.12,21124700,96.12
1977-04-01,98.42,102.07,96.53,98.44,21069500,98.44
1977-03-01,99.82,102.70,97.80,98.42,19617300,98.42
1977-02-01,102.03,103.32,98.82,99.82,21824200,99.82
1977-01-03,107.46,107.97,100.91,102.03,24978000,102.03
1976-12-01,102.10,107.82,101.62,107.46,25169000,107.46
1976-11-01,102.90,103.78,98.18,102.10,19902500,102.10
1976-10-01,105.24,105.75,99.21,102.90,18020000,102.90
1976-09-01,102.91,108.72,102.60,105.24,20450000,105.24
1976-08-02,103.44,105.41,100.43,102.91,16461800,102.91
1976-07-01,104.28,106.78,102.31,103.44,19456600,103.44
1976-06-01,100.18,105.07,97.97,104.28,20048100,104.28
1976-05-03,101.64,103.99,98.26,100.18,18638500,100.18
1976-04-01,102.77,104.63,99.57,101.64,19370900,101.64
1976-03-01,99.71,104.39,98.23,102.77,23787800,102.77
1976-02-02,100.86,103.07,98.50,99.71,32793100,99.71
1976-01-02,90.19,101.99,89.81,100.86,32111400,100.86
1975-12-01,91.24,91.90,86.15,90.19,16633600,90.19
1975-11-03,89.04,92.33,87.63,91.24,17456800,91.24
1975-10-01,83.87,91.75,82.57,89.04,16454300,89.04
1975-09-02,86.88,87.42,81.57,83.87,13697100,83.87
1975-08-01,88.75,89.04,82.21,86.88,14140400,86.88
1975-07-01,95.19,96.58,87.68,88.75,20737200,88.75
